remediation_id,vulnerability_id,asset_id,assigned_to,assigned_date,due_date,completed_date,status,verification_status
REM-000001,VUL-000001,AST-00002,engineer16@example.com,2026-04-03,2026-04-15,2026-06-02,COMPLETE,VERIFIED
REM-000002,VUL-000002,AST-00002,engineer18@example.com,2026-04-08,2026-07-07,2026-05-24,COMPLETE,VERIFIED
REM-000003,VUL-000003,AST-00002,engineer11@example.com,2026-04-02,2026-04-29,2026-06-22,COMPLETE,UNVERIFIED
REM-000004,VUL-000005,AST-00003,engineer11@example.com,2026-05-11,2026-07-08,2026-06-10,COMPLETE,UNVERIFIED
REM-000005,VUL-000006,AST-00003,engineer15@example.com,2026-04-19,2026-05-18,2026-07-03,COMPLETE,UNVERIFIED
REM-000006,VUL-000008,AST-00003,engineer9@example.com,2026-03-30,2026-04-27,2026-05-01,COMPLETE,VERIFIED
REM-000007,VUL-000009,AST-00004,engineer25@example.com,2026-05-09,2026-07-08,2026-07-11,COMPLETE,UNVERIFIED
REM-000008,VUL-000010,AST-00004,engineer12@example.com,2026-04-15,2026-04-30,2026-05-06,COMPLETE,VERIFIED
REM-000009,VUL-000011,AST-00004,engineer7@example.com,2026-04-19,2026-06-17,2026-06-25,COMPLETE,VERIFIED
REM-000010,VUL-000013,AST-00006,engineer13@example.com,2026-05-07,2026-06-04,2026-07-14,COMPLETE,VERIFIED
REM-000011,VUL-000015,AST-00008,engineer24@example.com,2026-05-07,2026-08-04,2026-07-13,COMPLETE,VERIFIED
REM-000012,VUL-000018,AST-00010,engineer14@example.com,2026-04-26,2026-06-24,2026-04-30,COMPLETE,VERIFIED
REM-000013,VUL-000019,AST-00010,engineer24@example.com,2026-04-22,2026-07-19,2026-06-09,COMPLETE,VERIFIED
REM-000014,VUL-000020,AST-00012,engineer25@example.com,2026-04-29,2026-07-26,2026-07-05,COMPLETE,VERIFIED
REM-000015,VUL-000021,AST-00012,engineer15@example.com,2026-04-23,2026-07-21,,IN_PROGRESS,PENDING
REM-000016,VUL-000022,AST-00014,engineer2@example.com,2026-05-09,2026-07-07,,IN_PROGRESS,PENDING
REM-000017,VUL-000023,AST-00014,engineer3@example.com,2026-04-10,2026-07-07,,IN_PROGRESS,PENDING
REM-000018,VUL-000024,AST-00014,engineer1@example.com,2026-05-10,2026-07-07,2026-07-27,COMPLETE,VERIFIED
REM-000019,VUL-000025,AST-00014,engineer7@example.com,2026-04-19,2026-07-15,2026-04-25,COMPLETE,VERIFIED
REM-000020,VUL-000026,AST-00017,engineer1@example.com,2026-04-02,2026-04-30,2026-05-20,COMPLETE,VERIFIED
REM-000021,VUL-000027,AST-00017,engineer24@example.com,2026-04-06,2026-05-06,2026-06-01,COMPLETE,UNVERIFIED
REM-000022,VUL-000028,AST-00018,engineer12@example.com,2026-04-27,2026-06-23,,IN_PROGRESS,PENDING
REM-000023,VUL-000030,AST-00019,engineer18@example.com,2026-04-10,2026-04-24,2026-05-22,COMPLETE,VERIFIED
REM-000024,VUL-000032,AST-00019,engineer7@example.com,2026-05-12,2026-05-24,2026-07-20,COMPLETE,VERIFIED
REM-000025,VUL-000035,AST-00020,engineer13@example.com,2026-04-26,2026-05-09,2026-06-15,COMPLETE,VERIFIED
REM-000026,VUL-000036,AST-00020,engineer9@example.com,2026-04-22,2026-06-18,2026-04-28,COMPLETE,VERIFIED
REM-000027,VUL-000037,AST-00021,engineer14@example.com,2026-03-21,2026-04-17,2026-05-25,COMPLETE,VERIFIED
REM-000028,VUL-000038,AST-00021,engineer7@example.com,2026-04-17,2026-05-01,2026-04-22,COMPLETE,UNVERIFIED
REM-000029,VUL-000039,AST-00021,engineer16@example.com,2026-03-30,2026-04-13,2026-06-16,COMPLETE,VERIFIED
REM-000030,VUL-000040,AST-00021,engineer9@example.com,2026-04-29,2026-05-11,2026-06-05,COMPLETE,VERIFIED
REM-000031,VUL-000042,AST-00022,engineer2@example.com,2026-04-17,2026-05-16,2026-05-10,COMPLETE,VERIFIED
REM-000032,VUL-000043,AST-00022,engineer3@example.com,2026-04-27,2026-05-10,2026-06-05,COMPLETE,VERIFIED
REM-000033,VUL-000044,AST-00024,engineer1@example.com,2026-03-29,2026-05-28,2026-04-08,COMPLETE,VERIFIED
REM-000034,VUL-000045,AST-00025,engineer14@example.com,2026-04-11,2026-04-23,2026-06-04,COMPLETE,VERIFIED
REM-000035,VUL-000047,AST-00026,engineer22@example.com,2026-04-20,2026-05-20,2026-07-12,COMPLETE,UNVERIFIED
REM-000036,VUL-000048,AST-00026,engineer4@example.com,2026-04-23,2026-05-21,2026-05-16,COMPLETE,VERIFIED
REM-000037,VUL-000049,AST-00026,engineer19@example.com,2026-03-20,2026-06-16,2026-04-01,COMPLETE,UNVERIFIED
REM-000038,VUL-000050,AST-00027,engineer19@example.com,2026-03-14,2026-03-26,,IN_PROGRESS,PENDING
REM-000039,VUL-000051,AST-00027,engineer7@example.com,2026-03-23,2026-04-04,,IN_PROGRESS,PENDING
REM-000040,VUL-000052,AST-00028,engineer8@example.com,2026-04-25,2026-07-23,,IN_PROGRESS,PENDING
REM-000041,VUL-000053,AST-00028,engineer14@example.com,2026-04-03,2026-05-03,,IN_PROGRESS,PENDING
REM-000042,VUL-000054,AST-00028,engineer9@example.com,2026-04-09,2026-07-08,2026-05-11,COMPLETE,VERIFIED
REM-000043,VUL-000055,AST-00029,engineer15@example.com,2026-03-25,2026-04-07,2026-04-11,COMPLETE,UNVERIFIED
REM-000044,VUL-000056,AST-00029,engineer9@example.com,2026-03-13,2026-05-10,,IN_PROGRESS,PENDING
REM-000045,VUL-000057,AST-00031,engineer17@example.com,2026-05-11,2026-07-07,2026-07-25,COMPLETE,VERIFIED
REM-000046,VUL-000059,AST-00032,engineer1@example.com,2026-04-18,2026-06-15,2026-05-07,COMPLETE,UNVERIFIED
REM-000047,VUL-000060,AST-00032,engineer22@example.com,2026-04-25,2026-05-08,2026-06-01,COMPLETE,UNVERIFIED
REM-000048,VUL-000061,AST-00033,engineer14@example.com,2026-03-12,2026-04-10,2026-03-29,COMPLETE,VERIFIED
REM-000049,VUL-000065,AST-00037,engineer1@example.com,2026-04-18,2026-07-14,2026-06-30,COMPLETE,VERIFIED
REM-000050,VUL-000066,AST-00037,engineer11@example.com,2026-04-11,2026-06-07,2026-06-11,COMPLETE,VERIFIED
REM-000051,VUL-000067,AST-00040,engineer2@example.com,2026-05-13,2026-05-25,2026-06-12,COMPLETE,VERIFIED
REM-000052,VUL-000068,AST-00040,engineer6@example.com,2026-03-19,2026-04-03,2026-04-06,COMPLETE,VERIFIED
REM-000053,VUL-000070,AST-00042,engineer24@example.com,2026-03-18,2026-06-15,2026-04-20,COMPLETE,VERIFIED
REM-000054,VUL-000071,AST-00042,engineer7@example.com,2026-04-14,2026-06-13,2026-05-09,COMPLETE,VERIFIED
REM-000055,VUL-000072,AST-00042,engineer7@example.com,2026-04-28,2026-05-27,2026-05-02,COMPLETE,VERIFIED
REM-000056,VUL-000073,AST-00042,engineer12@example.com,2026-04-05,2026-05-03,2026-05-29,COMPLETE,VERIFIED
REM-000057,VUL-000074,AST-00042,engineer22@example.com,2026-04-03,2026-06-30,2026-06-03,COMPLETE,VERIFIED
REM-000058,VUL-000081,AST-00045,engineer8@example.com,2026-04-03,2026-07-01,2026-05-14,COMPLETE,VERIFIED
REM-000059,VUL-000083,AST-00048,engineer1@example.com,2026-04-06,2026-05-03,2026-04-24,COMPLETE,VERIFIED
REM-000060,VUL-000085,AST-00048,engineer16@example.com,2026-03-24,2026-04-08,2026-05-09,COMPLETE,VERIFIED
REM-000061,VUL-000086,AST-00049,engineer21@example.com,2026-03-21,2026-05-20,,IN_PROGRESS,PENDING
REM-000062,VUL-000088,AST-00052,engineer21@example.com,2026-03-26,2026-06-21,2026-04-22,COMPLETE,VERIFIED
REM-000063,VUL-000090,AST-00052,engineer14@example.com,2026-03-11,2026-05-10,,IN_PROGRESS,PENDING
REM-000064,VUL-000091,AST-00052,engineer2@example.com,2026-05-04,2026-06-01,2026-06-03,COMPLETE,VERIFIED
REM-000065,VUL-000093,AST-00054,engineer17@example.com,2026-04-16,2026-05-13,2026-07-07,COMPLETE,VERIFIED
REM-000066,VUL-000094,AST-00054,engineer15@example.com,2026-03-20,2026-04-17,2026-06-04,COMPLETE,VERIFIED
REM-000067,VUL-000095,AST-00055,engineer17@example.com,2026-05-04,2026-06-01,,IN_PROGRESS,PENDING
REM-000068,VUL-000098,AST-00057,engineer1@example.com,2026-04-09,2026-04-23,,IN_PROGRESS,PENDING
REM-000069,VUL-000099,AST-00058,engineer9@example.com,2026-04-03,2026-04-17,2026-06-09,COMPLETE,VERIFIED
REM-000070,VUL-000103,AST-00059,engineer15@example.com,2026-04-08,2026-04-21,2026-05-21,COMPLETE,VERIFIED
REM-000071,VUL-000104,AST-00059,engineer22@example.com,2026-04-28,2026-07-25,,IN_PROGRESS,PENDING
REM-000072,VUL-000105,AST-00060,engineer23@example.com,2026-05-08,2026-06-05,2026-07-07,COMPLETE,VERIFIED
REM-000073,VUL-000106,AST-00060,engineer9@example.com,2026-04-17,2026-07-14,2026-06-26,COMPLETE,VERIFIED
REM-000074,VUL-000107,AST-00061,engineer6@example.com,2026-05-07,2026-05-19,2026-07-19,COMPLETE,VERIFIED
REM-000075,VUL-000108,AST-00061,engineer7@example.com,2026-04-06,2026-04-21,2026-05-12,COMPLETE,VERIFIED
REM-000076,VUL-000110,AST-00064,engineer18@example.com,2026-04-10,2026-05-07,2026-06-07,COMPLETE,UNVERIFIED
REM-000077,VUL-000111,AST-00064,engineer22@example.com,2026-04-19,2026-05-18,2026-06-22,COMPLETE,UNVERIFIED
REM-000078,VUL-000112,AST-00064,engineer8@example.com,2026-05-04,2026-07-31,2026-05-15,COMPLETE,VERIFIED
REM-000079,VUL-000113,AST-00065,engineer14@example.com,2026-04-27,2026-07-26,2026-05-22,COMPLETE,VERIFIED
REM-000080,VUL-000114,AST-00065,engineer24@example.com,2026-05-11,2026-05-24,,IN_PROGRESS,PENDING
REM-000081,VUL-000115,AST-00065,engineer9@example.com,2026-03-28,2026-04-25,2026-04-22,COMPLETE,UNVERIFIED
REM-000082,VUL-000116,AST-00066,engineer18@example.com,2026-04-25,2026-06-24,2026-07-06,COMPLETE,VERIFIED
REM-000083,VUL-000117,AST-00066,engineer24@example.com,2026-03-17,2026-05-14,2026-05-17,COMPLETE,VERIFIED
REM-000084,VUL-000120,AST-00067,engineer7@example.com,2026-05-06,2026-05-21,2026-07-05,COMPLETE,UNVERIFIED
REM-000085,VUL-000121,AST-00067,engineer15@example.com,2026-04-22,2026-06-21,2026-05-09,COMPLETE,VERIFIED
